"module name","license","repository"
"@polymer/app-layout@3.1.0","BSD-3-Clause","https://github.com/PolymerElements/app-layout"
"@polymer/app-localize-behavior@3.0.1","BSD-3-Clause","https://github.com/polymerelements/app-localize-behavior"
"@polymer/app-route@3.0.2","BSD-3-Clause","https://github.com/PolymerElements/app-route"
"@polymer/app-storage@3.0.3","BSD-3-Clause","https://github.com/PolymerElements/app-storage"
"@polymer/font-roboto@3.0.2","BSD-3-Clause","https://github.com/PolymerElements/font-roboto"
"@polymer/iron-a11y-announcer@3.1.0","BSD-3-Clause","https://github.com/PolymerElements/iron-a11y-announcer"
"@polymer/iron-a11y-keys-behavior@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-a11y-keys-behavior"
"@polymer/iron-a11y-keys@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-a11y-keys"
"@polymer/iron-ajax@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-ajax"
"@polymer/iron-autogrow-textarea@3.0.3","BSD-3-Clause","https://github.com/PolymerElements/iron-autogrow-textarea"
"@polymer/iron-behaviors@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-behaviors"
"@polymer/iron-checked-element-behavior@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-checked-element-behavior"
"@polymer/iron-dropdown@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-dropdown"
"@polymer/iron-fit-behavior@3.0.2","BSD-3-Clause","https://github.com/PolymerElements/iron-fit-behavior"
"@polymer/iron-flex-layout@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-flex-layout"
"@polymer/iron-form-element-behavior@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-form-element-behavior"
"@polymer/iron-form@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-form"
"@polymer/iron-icon@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-icon"
"@polymer/iron-icons@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-icons"
"@polymer/iron-iconset-svg@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-iconset-svg"
"@polymer/iron-input@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-input"
"@polymer/iron-label@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-label"
"@polymer/iron-list@3.1.0","BSD-3-Clause","https://github.com/PolymerElements/iron-list"
"@polymer/iron-localstorage@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-localstorage"
"@polymer/iron-location@3.0.2","BSD-3-Clause","https://github.com/PolymerElements/iron-location"
"@polymer/iron-media-query@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-media-query"
"@polymer/iron-menu-behavior@3.0.2","BSD-3-Clause","https://github.com/PolymerElements/iron-menu-behavior"
"@polymer/iron-meta@3.0.1","BSD-3-Clause","https://github.com/PolymerElements/iron-meta"
"@polymer/iron-overlay-behavior@3.0.3","BSD-3-Clause","https://github.com/PolymerElements/iron-overlay-behavior"
